Date,equity_portf,gold
2021-08-01,0.593956116790902,0.406043883209098
2021-09-01,0.5764322896632696,0.42356771033673035
2021-10-01,0.5879544158333858,0.4120455841666142
2021-11-01,0.6062052843237642,0.3937947156762358
2021-12-01,0.5936954498810877,0.4063045501189123
2022-01-01,0.5842510201409227,0.41574897985907733
2022-02-01,0.582511007903565,0.417488992096435
2022-03-01,0.5610810597688866,0.43891894023111344
2022-04-01,0.5705855188827573,0.4294144811172427
2022-05-01,0.5494618384182303,0.45053816158176974
2022-06-01,0.5337009621136896,0.46629903788631044
2022-07-01,0.5086710327226598,0.4913289672773402
2022-08-01,0.512065436469643,0.487934563530357
2022-09-01,0.4979613677483704,0.5020386322516296
